episode_id,timestep,split,node_id,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,mission_priority,in_disruption_zone,node_degree,dist_to_cs,dist_to_uav,can_reach_cs
0,12,train,S4,464.51,671.78,2.39,0.54,2.45,95.53,1,0,3,572.88,234.48,0
0,12,train,S5,651.18,512.42,3.74,-2.57,4.54,70.19,2,0,4,439.25,167.63,0
0,12,train,S6,589.71,700.98,-0.26,0.99,1.02,92.24,3,0,5,607.64,275.97,0
0,12,train,S7,367.77,433.99,-0.39,-1.0,1.07,83.97,2,0,3,359.21,132.36,0
0,12,train,S8,672.51,803.96,-1.44,-1.76,2.27,90.36,1,0,1,724.79,402.77,0
0,12,train,S9,552.08,391.44,0.95,3.6,3.73,85.47,2,0,3,296.06,71.21,0
0,12,train,S10,716.49,161.83,4.3,-1.57,4.57,80.01,2,0,1,225.14,352.48,0
0,12,train,S11,357.3,536.82,-3.02,1.24,3.26,79.54,3,0,2,459.54,172.45,0
0,12,train,S12,388.84,790.64,3.83,1.46,4.1,83.71,2,0,2,699.53,367.84,0
0,12,train,S13,545.52,677.83,-2.44,1.34,2.78,93.96,2,0,3,579.62,242.14,0
0,12,train,S14,708.71,481.11,4.79,-1.31,4.97,84.65,3,0,2,434.51,212.72,0
0,12,train,S15,669.88,347.68,1.12,3.74,3.9,86.01,1,0,4,300.34,193.34,0
0,12,train,S16,455.23,719.89,-1.61,-1.54,2.23,83.07,1,0,5,621.5,283.44,0
0,12,train,S17,562.48,464.8,-0.56,4.63,4.66,70.68,3,0,3,370.11,67.22,0
0,12,train,S18,514.9,607.39,-0.4,-1.01,1.08,89.26,3,1,2,507.61,168.05,0
0,12,train,S19,594.28,163.83,-0.64,-4.13,4.18,86.12,2,0,2,113.86,291.82,0
0,13,train,S0,499.41,198.97,-4.77,0.54,4.8,96.04,2,0,1,98.98,211.03,0
0,13,train,S1,318.66,357.61,1.02,-1.37,1.7,87.1,3,0,2,315.04,188.76,0
0,13,train,S2,596.08,391.26,-0.07,-1.73,1.73,71.96,3,0,4,306.7,97.89,0
0,13,train,S3,320.37,762.77,-1.07,-1.66,1.98,84.17,2,0,1,686.68,395.87,0
0,13,train,S4,466.9,672.31,2.39,0.54,2.45,95.52,1,0,3,573.27,264.39,0
0,13,train,S5,654.92,509.85,3.74,-2.57,4.54,70.18,2,0,4,438.15,184.31,0
0,13,train,S6,589.45,701.97,-0.26,0.99,1.02,92.23,3,0,5,608.58,305.36,0
0,13,train,S7,367.39,432.99,-0.39,-1.0,1.07,83.96,2,0,3,358.42,134.59,0
