episode_id,timestep,split,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,dist_to_cs,cs_connected,avg_sensor_dist,covered_sensors_count,network_components
10,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,303.86,12,5
11,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,284.23,12,5
11,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,273.73,12,5
11,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,265.89,12,4
11,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,260.29,14,4
11,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,256.53,15,4
11,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,254.39,15,4
11,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,253.82,15,3
11,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,254.82,15,3
11,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,257.49,13,3
11,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,261.97,12,4
11,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,268.4,12,4
11,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,276.96,11,4
11,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,287.8,11,4
11,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,300.96,10,4
11,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,316.34,10,5
11,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,333.77,9,5
11,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,353.12,9,5
11,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,374.31,8,4
11,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,397.22,8,5
11,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,397.6,8,5
11,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,397.98,8,5
11,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,398.37,8,5
11,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,398.77,8,5
11,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,399.17,7,5
11,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,399.58,7,5
12,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,369.65,9,3
12,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,347.87,9,3
